RPM,Voltage,Current,nozzle dp,fan dp
6006.0625,16.54,0.781,0.09,0.7243125
5997.055556,16.54016667,0.781444444,0.090388889,0.722888889
5997.875,16.5399375,0.781125,0.0918125,0.7166875
5995.75,16.549125,0.781375,0.0946875,0.715
5995.9375,16.6289375,0.781875,0.0989375,0.7173125
5999.0625,16.634625,0.7815,0.1015,0.70875
5995.125,16.6421875,0.7823125,0.103875,0.701375
5999.75,16.6595,0.7821875,0.10725,0.6959375
6000.375,16.667375,0.7821875,0.1105625,0.6863125
5999.5,16.6604375,0.7820625,0.114375,0.674875
6003.125,16.6425625,0.782125,0.1188125,0.654375
6004.3125,16.6355625,0.7821875,0.1239375,0.6368125
6002.875,16.6048125,0.7816875,0.12875,0.620125
5999.0625,16.5856875,0.78175,0.13375,0.6001875
6002.125,16.5461875,0.7813125,0.13875,0.5764375
6009.1875,16.53425,0.7805625,0.1460625,0.548
6002.4375,16.481375,0.780875,0.15375,0.52775
6006.5625,16.444875,0.7806875,0.1596875,0.49975
6002.375,16.436875,0.78075,0.1675625,0.48625
6004.0625,16.3819375,0.7803125,0.175125,0.454125
6008.4375,16.338125,0.7800625,0.184625,0.4198125
6004.6875,16.25575,0.7795625,0.1925625,0.3835
6007.9375,16.2103125,0.7788125,0.201125,0.351125
6006.4375,16.15425,0.7789375,0.2089375,0.3225625
6011.1875,16.0703125,0.777,0.216125,0.3015
6010.4375,15.9743125,0.7726875,0.220375,0.2845
5994.4375,15.9421875,0.77325,0.2233125,0.2848125
6003.0625,15.92375,0.7710625,0.2228125,0.2765
5998.6,15.948,0.7728,0.2234,0.282
